sequence_index,intent_index,pos,deployment_time,prediction_target_pos,prediction_target_time,window_start_pos,window_start_time,num_nodes,num_edges,cost,budget,budget_ratio,u_track,u_elastic,total_utility,jaccard_intent,jaccard_persist,consensus_hits,deployed_score
79,80,4998,2025-07-28 06:00:00,4999,2025-07-28 07:00:00,4987,2025-07-27 19:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.8944094426298783,-0.5527952786850605,0.0,0.0,0,4.522641524672508
80,81,4999,2025-07-28 07:00:00,5000,2025-07-28 08:00:00,4988,2025-07-27 20:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9037790161502649,-0.5481104919248672,0.0,0.0,0,2.25048691034317
81,82,5000,2025-07-28 08:00:00,5001,2025-07-28 09:00:00,4989,2025-07-27 21:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.007352941176362457,0.9016803061009788,-0.545483376361329,0.014705882352724913,0.0,1,2.0724980160593987
82,83,5001,2025-07-28 09:00:00,5002,2025-07-28 10:00:00,4990,2025-07-27 22:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.01492537313410559,0.8970114259188143,-0.5440316004735397,0.02985074626821118,0.0,2,2.282196916639805
83,84,5002,2025-07-28 10:00:00,5003,2025-07-28 11:00:00,4991,2025-07-27 23:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.04836829836729656,0.890148466090443,-0.5307416177711299,0.04545454545385675,0.05128205128073636,3,2.4342354089021683
84,85,5003,2025-07-28 11:00:00,5004,2025-07-28 12:00:00,4992,2025-07-28 00:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.8860299497777369,-0.5569850251111312,0.0,0.0,0,2.5454854667186737
85,86,5004,2025-07-28 12:00:00,5005,2025-07-28 13:00:00,4993,2025-07-28 01:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9107854195493352,-0.544607290225332,0.0,0.0,0,2.573757030069828
86,87,5005,2025-07-28 13:00:00,5006,2025-07-28 14:00:00,4994,2025-07-28 02:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.8988059339945602,-0.5505970330027196,0.0,0.0,0,2.5607440173625946
87,88,5006,2025-07-28 14:00:00,5007,2025-07-28 15:00:00,4995,2025-07-28 03:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.8960716322703423,-0.5519641838648286,0.0,0.0,0,2.528581254184246
88,89,5007,2025-07-28 15:00:00,5008,2025-07-28 16:00:00,4996,2025-07-28 04:00:00,8,7,9.400000000000002,30.0,0.3133333333333334,0.124999999996629,0.0,-0.2508333333350189,0.1428571428542274,0.10714285713903061,7,1.669200192153445e-14
89,90,5008,2025-07-28 16:00:00,5009,2025-07-28 17:00:00,4997,2025-07-28 05:00:00,5,5,6.000000000000001,30.0,0.20000000000000004,0.13722730471097555,0.8223084895375805,0.27976789712427796,0.10204081632444816,0.17241379309750296,5,0.008340486325323582
90,91,5009,2025-07-28 17:00:00,5010,2025-07-28 18:00:00,4998,2025-07-28 06:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.1262190547611579,0.9098792170353122,-0.4819508641017646,0.1129032258046306,0.13953488371768524,0,2.7288861349225044
91,92,5010,2025-07-28 18:00:00,5011,2025-07-28 19:00:00,4999,2025-07-28 07:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.07987882652916892,0.8999845948365248,-0.5100682893171529,0.0781249999987793,0.08163265305955852,1,3.0283712670207024
92,93,5011,2025-07-28 19:00:00,5012,2025-07-28 20:00:00,5000,2025-07-28 08:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.05606060605952097,0.8905668441774187,-0.5266862748815297,0.04545454545385675,0.06666666666518518,1,3.095672123134136
93,94,5012,2025-07-28 20:00:00,5013,2025-07-28 21:00:00,5001,2025-07-28 09:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.08095238095088436,0.8919490985749844,-0.5135492602370653,0.09523809523658353,0.06666666666518518,2,3.4518952071666718
94,95,5013,2025-07-28 21:00:00,5014,2025-07-28 22:00:00,5002,2025-07-28 10:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0934103260851647,0.9160199140486303,-0.4952848799331022,0.0781249999987793,0.1086956521715501,1,3.6943057775497437
95,96,5014,2025-07-28 22:00:00,5015,2025-07-28 23:00:00,5003,2025-07-28 11:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.12311827956750049,0.9065182762146122,-0.4851817221089433,0.1129032258046306,0.13333333333037037,1,3.579628422856331
96,97,5015,2025-07-28 23:00:00,5016,2025-07-29 00:00:00,5004,2025-07-28 12:00:00,25,25,29.999999999999986,30.0,0.9999999999999996,0.3630952380875496,0.9166232159138689,-0.36014077299929026,0.32142857142283165,0.4047619047522676,1,5.182747758924961
97,98,5016,2025-07-29 00:00:00,5017,2025-07-29 01:00:00,5005,2025-07-28 13:00:00,25,25,29.999999999999986,30.0,0.9999999999999996,0.2932932932869421,0.9207405265574501,-0.3929830900778035,0.37037037036351167,0.21621621621037254,3,5.534221358597279
98,99,5017,2025-07-29 01:00:00,5018,2025-07-29 02:00:00,5006,2025-07-28 14:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.25793650793110146,0.8980328269017495,-0.42201533258357415,0.27777777777263374,0.23809523808956917,2,3.9962594360113144
99,100,5018,2025-07-29 02:00:00,5019,2025-07-29 03:00:00,5007,2025-07-28 15:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.09639953542198004,0.9018815149755216,-0.5008594748012488,0.09523809523658353,0.09756097560737657,2,3.807941310107708
100,101,5019,2025-07-29 03:00:00,5020,2025-07-29 04:00:00,5008,2025-07-28 16:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.016968325791562162,0.9004054842139482,-0.5413130949972444,0.014705882352724913,0.01923076923039941,0,4.743979558348656
