# x,y
116.516874,40.071329
116.502561,40.040094
116.483766,39.995982
116.471416,39.960685
116.453327,39.918593
116.436286,39.885240
116.414289,39.843552
116.395475,39.802826
116.376016,39.889492
116.310028,39.896808
116.265635,39.907136
116.204652,39.913734
116.152209,39.921112
116.106014,39.929487
116.046662,39.942935
115.989588,39.948318
116.613823,39.972806
116.555834,39.980287
116.493638,39.988412
116.443641,39.981294
116.384861,39.989103
116.327863,39.991903
116.272484,39.994337
116.222913,39.992790
116.520866,40.018524
116.533043,39.982776
116.529678,39.937184
116.543923,39.893819
116.545230,39.859732
116.558424,39.822320
