# x,y
-118.441269,33.984447
-118.233612,34.086880
-118.155586,33.912441
-118.371048,34.147297
-118.203476,34.054111
-118.286423,33.906979
-118.142525,34.151691
-118.281288,34.009216
-118.472290,34.133766
-118.109367,34.071667
-118.297531,34.165485
-118.369492,33.960583
-118.430023,34.026630
-118.224106,34.166367
-118.130676,33.981838
-118.301773,34.085800
-118.174622,33.911106
-118.339447,34.034676
-118.229500,34.148125
-118.476524,34.095833
-118.394432,33.931618
-118.184448,34.142227
-118.281013,33.968826
-118.166092,34.013676
-118.338646,33.926559
-118.467567,34.172832
-118.170593,33.949463
-118.403412,34.199989
-118.113945,33.913689
-118.412552,34.004890
-118.343719,34.154194
-118.155495,34.065884
-118.242279,34.056973
-118.180756,34.189220
-118.330292,34.193810
-118.384888,34.034309
-118.370300,33.906864
-118.265343,34.156197
-118.296692,34.037128
-118.365135,34.139645
-118.194031,33.917732
-118.282722,34.077518
-118.199219,34.029648
-118.264526,34.111313
-118.110535,33.956898
-118.266556,33.927303
-118.432991,34.155724
-118.151520,34.035725
-118.280235,33.989159
-118.253471,34.028118
-118.117783,34.152187
-118.229568,34.121742
-118.217384,34.069366
-118.459320,34.026932
-118.481491,34.110481
-118.167267,34.061443
-118.373772,33.930149
-118.479538,34.019283
-118.400986,33.990322
-118.466125,34.072380
-118.423660,34.018963
-118.256752,34.055431
-118.177299,34.112946
-118.177986,33.924408
-118.312408,34.179878
-118.171547,34.182541
-118.167801,34.144585
-118.295570,34.164089
-118.474075,34.188190
-118.285759,33.928913
-118.474716,34.165131
-118.109604,34.033772
-118.216537,34.055168
-118.327065,34.153625
-118.150993,34.002541
-118.411430,34.030891
-118.323799,34.104366
-118.368988,33.951752
-118.105133,33.903564
-118.201424,33.921329
-118.394539,34.154312
-118.131271,33.912952
-118.388336,34.171635
-118.254684,34.067066
-118.345703,34.034363
-118.123093,33.971706
-118.117348,34.071888
-118.258980,34.108429
-118.238014,34.068001
-118.177002,33.997066
-118.274086,34.037094
-118.245193,34.156448
-118.168488,33.966187
-118.274162,34.154236
-118.313133,34.036953
-118.211494,34.029064
-118.279900,33.951160
-118.442696,34.042213
-118.490334,34.165142
-118.348129,34.129745
